,keyword,date,index
1,比特币,2019/7/9,824144
1,比特币,2019/7/10,843509
1,比特币,2019/7/11,1540846
1,比特币,2019/7/12,1188539
1,比特币,2019/7/13,1362114
1,比特币,2019/7/14,876152
1,比特币,2019/7/15,1414661
1,比特币,2019/7/16,1076294
1,比特币,2019/7/17,1581756
1,比特币,2019/7/18,1784650
1,比特币,2019/7/19,1930880
1,比特币,2019/7/20,1061117
1,比特币,2019/7/21,824797
1,比特币,2019/7/22,501359
1,比特币,2019/7/23,3419716
1,比特币,2019/7/24,1605238
1,比特币,2019/7/25,953259
1,比特币,2019/7/26,555997
1,比特币,2019/7/27,341194
1,比特币,2019/7/28,309002
1,比特币,2019/7/29,286677
1,比特币,2019/7/30,214307
1,比特币,2019/7/31,327424
1,比特币,2019/8/1,399074
1,比特币,2019/8/2,455142
1,比特币,2019/8/3,425204
1,比特币,2019/8/4,292699
1,比特币,2019/8/5,400627
1,比特币,2019/8/6,484849
1,比特币,2019/8/7,390792
1,比特币,2019/8/8,611302
1,比特币,2019/8/9,452309
1,比特币,2019/8/10,976358
1,比特币,2019/8/11,319939
1,比特币,2019/8/12,268147
1,比特币,2019/8/13,238792
1,比特币,2019/8/14,441277
1,比特币,2019/8/15,429777
1,比特币,2019/8/16,403987
1,比特币,2019/8/17,437714
1,比特币,2019/8/18,407659
1,比特币,2019/8/19,339884
1,比特币,2019/8/20,765654
1,比特币,2019/8/21,632717
1,比特币,2019/8/22,543892
1,比特币,2019/8/23,572464
1,比特币,2019/8/24,501209
1,比特币,2019/8/25,1174544
1,比特币,2019/8/26,2612171
1,比特币,2019/8/27,2398337
1,比特币,2019/8/28,965054
1,比特币,2019/8/29,1358674
1,比特币,2019/8/30,830234
1,比特币,2019/8/31,321372
1,比特币,2019/9/1,442127
1,比特币,2019/9/2,2312798
1,比特币,2019/9/3,1979694
1,比特币,2019/9/4,1208496
1,比特币,2019/9/5,971402
1,比特币,2019/9/6,788077
1,比特币,2019/9/7,511239
1,比特币,2019/9/8,360442
1,比特币,2019/9/9,287329
1,比特币,2019/9/10,358637
1,比特币,2019/9/11,205997
1,比特币,2019/9/12,193007
1,比特币,2019/9/13,178994
1,比特币,2019/9/14,142089
1,比特币,2019/9/15,197404
1,比特币,2019/9/16,179097
1,比特币,2019/9/17,222889
1,比特币,2019/9/18,243417
1,比特币,2019/9/19,397589
1,比特币,2019/9/20,336889
1,比特币,2019/9/21,488304
1,比特币,2019/9/22,2582278
1,比特币,2019/9/23,1147699
1,比特币,2019/9/24,347519
1,比特币,2019/9/25,858337
1,比特币,2019/9/26,1288191
1,比特币,2019/9/27,891117
1,比特币,2019/9/28,413197
1,比特币,2019/9/29,961939
1,比特币,2019/9/30,721144
1,比特币,2019/10/1,301922
1,比特币,2019/10/2,106819
1,比特币,2019/10/3,214779
1,比特币,2019/10/4,129847
1,比特币,2019/10/5,231049
1,比特币,2019/10/6,721157
1,比特币,2019/10/7,513032
1,比特币,2019/10/8,322829
1,比特币,2019/10/9,422894
1,比特币,2019/10/10,511987
1,比特币,2019/10/11,463537
1,比特币,2019/10/12,444824
1,比特币,2019/10/13,283124
1,比特币,2019/10/14,577502
1,比特币,2019/10/15,1034882
1,比特币,2019/10/16,449997
1,比特币,2019/10/17,395177
1,比特币,2019/10/18,426124
1,比特币,2019/10/19,379652
1,比特币,2019/10/20,355552
1,比特币,2019/10/21,590099
1,比特币,2019/10/22,1923964
1,比特币,2019/10/23,707357
1,比特币,2019/10/24,5422324
1,比特币,2019/10/25,3363902
1,比特币,2019/10/26,4408911
1,比特币,2019/10/27,2730185
1,比特币,2019/10/28,3427116
1,比特币,2019/10/29,2745455
1,比特币,2019/10/30,1164256
1,比特币,2019/10/31,2191024
1,比特币,2019/11/1,1435931
1,比特币,2019/11/2,1241659
1,比特币,2019/11/3,400232
1,比特币,2019/11/4,330292
1,比特币,2019/11/5,448702
1,比特币,2019/11/6,1126562
1,比特币,2019/11/7,837349
1,比特币,2019/11/8,750987
1,比特币,2019/11/9,5350918
1,比特币,2019/11/10,2614126
1,比特币,2019/11/11,995644
1,比特币,2019/11/12,557659
1,比特币,2019/11/13,320599
1,比特币,2019/11/14,340874
1,比特币,2019/11/15,1068718
1,比特币,2019/11/16,845704
